,cantonId,case_inz_entries_7dayAverage_last_2,pred_week_case_inz_entries_7dayAverage_0,pred_week_case_inz_entries_7dayAverage_1,output_case_inz_entries_7dayAverage_0,output_case_inz_entries_7dayAverage_1,iteration
0,AG,44.74,40.70592,41.175488,53.36571428571428,59.96857142857144,0
1,AI,25.685714285714287,38.232883,38.73513,40.745714285714286,34.542857142857144,0
2,AR,47.665714285714294,44.866375,45.27739,52.04571428571428,49.46857142857144,0
3,BE,37.64142857142857,38.0401,38.5455,46.08,48.51285714285714,0
4,BL,46.63571428571429,41.3411,41.800602,55.86571428571429,51.27428571428571,0
5,BS,47.34,39.177254,39.666405,50.84285714285714,51.862857142857145,0
6,FR,34.050000000000004,39.518883,40.005424,30.587142857142855,29.07857142857143,0
7,GE,36.44285714285714,35.83527,36.374344,30.40571428571429,30.29285714285714,0
8,GL,29.211428571428577,41.846527,42.29821,57.71857142857142,58.424285714285716,0
9,GR,43.93,42.59277,43.03514,49.6,55.55714285714286,0
10,JU,31.645714285714284,34.450626,35.00711,26.017142857142854,40.57714285714286,0
11,LU,36.68857142857143,41.15445,41.61736,46.19714285714286,58.89142857142856,0
12,NE,45.40857142857143,35.165104,35.709705,36.42285714285714,32.61714285714286,0
13,NW,23.211428571428577,35.72894,36.264942,40.44857142857143,45.091428571428565,0
14,OW,27.87,34.70081,35.250633,30.50714285714286,25.987142857142853,0
15,SG,62.207142857142856,46.9392,47.321926,70.29,71.15714285714286,0
16,SH,50.48285714285714,43.49522,43.924263,50.48285714285714,52.56571428571429,0
17,SO,45.1,44.764507,45.176304,59.22000000000001,59.63571428571429,0
18,SZ,38.722857142857144,43.39873,43.830536,47.44714285714286,62.58285714285715,0
19,TG,45.33,43.55223,43.981197,61.222857142857144,64.13571428571429,0
20,TI,66.20857142857143,49.07552,49.42699,65.47428571428573,72.83285714285714,0
21,UR,34.64,34.43677,34.99042,34.64,40.86857142857143,0
22,VD,38.878571428571426,38.6395,39.13783,37.51142857142858,30.98142857142857,0
23,VS,35.47428571428572,39.55882,40.043625,32.70285714285714,29.397142857142853,0
24,ZG,38.05142857142857,39.48213,39.9673,36.03857142857142,41.184285714285714,0
25,ZH,44.4,42.981266,43.419495,53.30714285714286,54.89571428571429,0
26,AG,44.74,38.724827,39.527294,53.36571428571428,59.96857142857144,1
27,AI,25.685714285714287,36.087532,36.90572,40.745714285714286,34.542857142857144,1
28,AR,47.665714285714294,42.12411,42.90761,52.04571428571428,49.46857142857144,1
29,BE,37.64142857142857,36.806973,37.620792,46.08,48.51285714285714,1
30,BL,46.63571428571429,38.395157,39.199467,55.86571428571429,51.27428571428571,1
31,BS,47.34,36.66785,37.48054,50.84285714285714,51.862857142857145,1
32,FR,34.050000000000004,36.209568,37.027073,30.587142857142855,29.07857142857143,1
33,GE,36.44285714285714,36.116703,36.935,30.40571428571429,30.29285714285714,1
34,GL,29.211428571428577,38.667362,39.46963,57.71857142857142,58.424285714285716,1
35,GR,43.93,38.16463,38.969204,49.6,55.55714285714286,1
36,JU,31.645714285714284,32.517776,33.35959,26.017142857142854,40.57714285714286,1
37,LU,36.68857142857143,38.905994,39.707623,46.19714285714286,58.89142857142856,1
38,NE,45.40857142857143,34.26492,35.095505,36.42285714285714,32.61714285714286,1
39,NW,23.211428571428577,33.726986,34.560226,40.44857142857143,45.091428571428565,1
40,OW,27.87,33.543793,34.379063,30.50714285714286,25.987142857142853,1
41,SG,62.207142857142856,44.095364,44.867847,70.29,71.15714285714286,1
42,SH,50.48285714285714,40.39835,41.19137,50.48285714285714,52.56571428571429,1
43,SO,45.1,41.37699,42.1645,59.22000000000001,59.63571428571429,1
44,SZ,38.722857142857144,40.628975,41.41997,47.44714285714286,62.58285714285715,1
45,TG,45.33,41.268337,42.055744,61.222857142857144,64.13571428571429,1
46,TI,66.20857142857143,42.678482,43.458996,65.47428571428573,72.83285714285714,1
47,UR,34.64,33.233143,34.070408,34.64,40.86857142857143,1
48,VD,38.878571428571426,36.705845,37.52004,37.51142857142858,30.98142857142857,1
49,VS,35.47428571428572,36.64523,37.461487,32.70285714285714,29.397142857142853,1
50,ZG,38.05142857142857,38.312447,39.11703,36.03857142857142,41.184285714285714,1
51,ZH,44.4,41.021908,41.812862,53.30714285714286,54.89571428571429,1
52,AG,44.74,41.42358,42.159138,53.36571428571428,59.96857142857144,2
53,AI,25.685714285714287,38.161793,38.938915,40.745714285714286,34.542857142857144,2
54,AR,47.665714285714294,44.504105,45.19547,52.04571428571428,49.46857142857144,2
55,BE,37.64142857142857,39.40283,40.163696,46.08,48.51285714285714,2
56,BL,46.63571428571429,40.92716,41.666832,55.86571428571429,51.27428571428571,2
57,BS,47.34,40.260784,41.010326,50.84285714285714,51.862857142857145,2
58,FR,34.050000000000004,39.526093,40.285877,30.587142857142855,29.07857142857143,2
59,GE,36.44285714285714,39.311886,40.073536,30.40571428571429,30.29285714285714,2
60,GL,29.211428571428577,40.898914,41.64091,57.71857142857142,58.424285714285716,2
61,GR,43.93,41.544422,42.276367,49.6,55.55714285714286,2
62,JU,31.645714285714284,36.91406,37.706665,26.017142857142854,40.57714285714286,2
63,LU,36.68857142857143,40.528095,41.274006,46.19714285714286,58.89142857142856,2
64,NE,45.40857142857143,38.373596,39.147423,36.42285714285714,32.61714285714286,2
65,NW,23.211428571428577,36.600506,37.39854,40.44857142857143,45.091428571428565,2
66,OW,27.87,36.79185,37.58646,30.50714285714286,25.987142857142853,2
67,SG,62.207142857142856,46.637783,47.300926,70.29,71.15714285714286,2
68,SH,50.48285714285714,42.532154,43.24828,50.48285714285714,52.56571428571429,2
69,SO,45.1,44.003902,44.702335,59.22000000000001,59.63571428571429,2
70,SZ,38.722857142857144,42.834908,43.548267,47.44714285714286,62.58285714285715,2
71,TG,45.33,43.093525,43.80413,61.222857142857144,64.13571428571429,2
72,TI,66.20857142857143,48.568054,49.201855,65.47428571428573,72.83285714285714,2
73,UR,34.64,36.782547,37.57674,34.64,40.86857142857143,2
74,VD,38.878571428571426,40.571407,41.31743,37.51142857142858,30.98142857142857,2
75,VS,35.47428571428572,39.399883,40.16039,32.70285714285714,29.397142857142853,2
76,ZG,38.05142857142857,39.791615,40.548595,36.03857142857142,41.184285714285714,2
77,ZH,44.4,43.124756,43.83466,53.30714285714286,54.89571428571429,2
78,AG,44.74,42.916134,43.78368,53.36571428571428,59.96857142857144,3
79,AI,25.685714285714287,38.795727,39.70197,40.745714285714286,34.542857142857144,3
80,AR,47.665714285714294,46.027084,46.85541,52.04571428571428,49.46857142857144,3
81,BE,37.64142857142857,40.44377,41.33719,46.08,48.51285714285714,3
82,BL,46.63571428571429,41.899746,42.77794,55.86571428571429,51.27428571428571,3
83,BS,47.34,40.06035,40.957882,50.84285714285714,51.862857142857145,3
84,FR,34.050000000000004,39.515537,40.41007,30.587142857142855,29.07857142857143,3
85,GE,36.44285714285714,38.680325,39.591206,30.40571428571429,30.29285714285714,3
86,GL,29.211428571428577,42.400196,43.27129,57.71857142857142,58.424285714285716,3
87,GR,43.93,41.21863,42.10107,49.6,55.55714285714286,3
88,JU,31.645714285714284,34.667038,35.624435,26.017142857142854,40.57714285714286,3
89,LU,36.68857142857143,41.662243,42.543617,46.19714285714286,58.89142857142856,3
90,NE,45.40857142857143,36.33389,37.268833,36.42285714285714,32.61714285714286,3
91,NW,23.211428571428577,36.19177,37.13511,40.44857142857143,45.091428571428565,3
92,OW,27.87,35.100407,36.054317,30.50714285714286,25.987142857142853,3
93,SG,62.207142857142856,48.089775,48.897015,70.29,71.15714285714286,3
94,SH,50.48285714285714,44.3202,45.169662,50.48285714285714,52.56571428571429,3
95,SO,45.1,45.240086,46.078915,59.22000000000001,59.63571428571429,3
96,SZ,38.722857142857144,44.60617,45.454357,47.44714285714286,62.58285714285715,3
97,TG,45.33,44.770313,45.61471,61.222857142857144,64.13571428571429,3
98,TI,66.20857142857143,48.759716,49.550453,65.47428571428573,72.83285714285714,3
99,UR,34.64,34.200356,35.16644,34.64,40.86857142857143,3
100,VD,38.878571428571426,39.557644,40.458866,37.51142857142858,30.98142857142857,3
101,VS,35.47428571428572,38.80949,39.70853,32.70285714285714,29.397142857142853,3
102,ZG,38.05142857142857,41.276657,42.163773,36.03857142857142,41.184285714285714,3
103,ZH,44.4,46.165405,46.99531,53.30714285714286,54.89571428571429,3
104,AG,44.74,40.560234,41.45143,53.36571428571428,59.96857142857144,4
105,AI,25.685714285714287,37.702076,38.629097,40.745714285714286,34.542857142857144,4
106,AR,47.665714285714294,42.620457,43.473892,52.04571428571428,49.46857142857144,4
107,BE,37.64142857142857,39.640724,40.548157,46.08,48.51285714285714,4
108,BL,46.63571428571429,40.57018,41.462852,55.86571428571429,51.27428571428571,4
109,BS,47.34,40.339916,41.236626,50.84285714285714,51.862857142857145,4
110,FR,34.050000000000004,38.907776,39.822926,30.587142857142855,29.07857142857143,4
111,GE,36.44285714285714,40.067184,40.971626,30.40571428571429,30.29285714285714,4
112,GL,29.211428571428577,40.512005,41.40724,57.71857142857142,58.424285714285716,4
113,GR,43.93,41.204235,42.09597,49.6,55.55714285714286,4
114,JU,31.645714285714284,37.09355,38.027992,26.017142857142854,40.57714285714286,4
115,LU,36.68857142857143,40.177097,41.078556,46.19714285714286,58.89142857142856,4
116,NE,45.40857142857143,38.43704,39.35614,36.42285714285714,32.61714285714286,4
117,NW,23.211428571428577,38.012474,38.9411,40.44857142857143,45.091428571428565,4
118,OW,27.87,37.57355,38.50285,30.50714285714286,25.987142857142853,4
119,SG,62.207142857142856,44.869762,45.69244,70.29,71.15714285714286,4
120,SH,50.48285714285714,42.137012,43.006836,50.48285714285714,52.56571428571429,4
121,SO,45.1,41.982506,42.847797,59.22000000000001,59.63571428571429,4
122,SZ,38.722857142857144,42.637665,43.505306,47.44714285714286,62.58285714285715,4
123,TG,45.33,41.62828,42.500893,61.222857142857144,64.13571428571429,4
124,TI,66.20857142857143,46.55643,47.3562,65.47428571428573,72.83285714285714,4
125,UR,34.64,37.333065,38.264412,34.64,40.86857142857143,4
126,VD,38.878571428571426,39.852818,40.75745,37.51142857142858,30.98142857142857,4
127,VS,35.47428571428572,38.07387,38.998634,32.70285714285714,29.397142857142853,4
128,ZG,38.05142857142857,39.92202,40.82839,36.03857142857142,41.184285714285714,4
129,ZH,44.4,42.32635,43.19453,53.30714285714286,54.89571428571429,4
130,AG,44.74,40.838303,41.812717,53.36571428571428,59.96857142857144,5
131,AI,25.685714285714287,37.94553,38.950943,40.745714285714286,34.542857142857144,5
132,AR,47.665714285714294,43.354797,44.293335,52.04571428571428,49.46857142857144,5
133,BE,37.64142857142857,38.74235,39.74401,46.08,48.51285714285714,5
134,BL,46.63571428571429,40.10277,41.085163,55.86571428571429,51.27428571428571,5
135,BS,47.34,38.834198,39.836864,50.84285714285714,51.862857142857145,5
136,FR,34.050000000000004,37.58296,38.59416,30.587142857142855,29.07857142857143,5
137,GE,36.44285714285714,36.48973,37.512028,30.40571428571429,30.29285714285714,5
138,GL,29.211428571428577,40.553234,41.528217,57.71857142857142,58.424285714285716,5
139,GR,43.93,40.03616,41.022686,49.6,55.55714285714286,5
140,JU,31.645714285714284,35.436478,36.443977,26.017142857142854,40.57714285714286,5
141,LU,36.68857142857143,39.537205,40.524025,46.19714285714286,58.89142857142856,5
142,NE,45.40857142857143,36.96972,37.969563,36.42285714285714,32.61714285714286,5
143,NW,23.211428571428577,36.916893,37.91357,40.44857142857143,45.091428571428565,5
144,OW,27.87,36.360287,37.361927,30.50714285714286,25.987142857142853,5
145,SG,62.207142857142856,45.51481,46.429012,70.29,71.15714285714286,5
146,SH,50.48285714285714,42.545296,43.498165,50.48285714285714,52.56571428571429,5
147,SO,45.1,43.00304,43.946926,59.22000000000001,59.63571428571429,5
148,SZ,38.722857142857144,42.056087,43.009514,47.44714285714286,62.58285714285715,5
149,TG,45.33,42.43841,43.389004,61.222857142857144,64.13571428571429,5
150,TI,66.20857142857143,47.40232,48.291378,65.47428571428573,72.83285714285714,5
151,UR,34.64,36.32318,37.317127,34.64,40.86857142857143,5
152,VD,38.878571428571426,37.32582,38.341293,37.51142857142858,30.98142857142857,5
153,VS,35.47428571428572,37.517834,38.53152,32.70285714285714,29.397142857142853,5
154,ZG,38.05142857142857,39.00555,39.99864,36.03857142857142,41.184285714285714,5
155,ZH,44.4,41.988617,42.946796,53.30714285714286,54.89571428571429,5
156,AG,44.74,38.914703,39.89949,53.36571428571428,59.96857142857144,6
157,AI,25.685714285714287,36.626198,37.63237,40.745714285714286,34.542857142857144,6
158,AR,47.665714285714294,40.58072,41.54754,52.04571428571428,49.46857142857144,6
159,BE,37.64142857142857,37.705917,38.695053,46.08,48.51285714285714,6
160,BL,46.63571428571429,38.470734,39.458427,55.86571428571429,51.27428571428571,6
161,BS,47.34,38.04242,39.01705,50.84285714285714,51.862857142857145,6
162,FR,34.050000000000004,37.256485,38.249294,30.587142857142855,29.07857142857143,6
163,GE,36.44285714285714,37.266483,38.26741,30.40571428571429,30.29285714285714,6
164,GL,29.211428571428577,38.95819,39.942383,57.71857142857142,58.424285714285716,6
165,GR,43.93,38.561134,39.546204,49.6,55.55714285714286,6
166,JU,31.645714285714284,36.199776,37.224815,26.017142857142854,40.57714285714286,6
167,LU,36.68857142857143,38.261063,39.249706,46.19714285714286,58.89142857142856,6
168,NE,45.40857142857143,37.156425,38.158897,36.42285714285714,32.61714285714286,6
169,NW,23.211428571428577,36.2248,37.23399,40.44857142857143,45.091428571428565,6
170,OW,27.87,36.574677,37.588425,30.50714285714286,25.987142857142853,6
171,SG,62.207142857142856,42.136696,43.086384,70.29,71.15714285714286,6
172,SH,50.48285714285714,39.838097,40.81134,50.48285714285714,52.56571428571429,6
173,SO,45.1,40.34814,41.317802,59.22000000000001,59.63571428571429,6
174,SZ,38.722857142857144,39.449455,40.426464,47.44714285714286,62.58285714285715,6
175,TG,45.33,40.29342,41.264187,61.222857142857144,64.13571428571429,6
176,TI,66.20857142857143,41.78198,42.754208,65.47428571428573,72.83285714285714,6
177,UR,34.64,36.717674,37.731155,34.64,40.86857142857143,6
178,VD,38.878571428571426,38.038605,39.01789,37.51142857142858,30.98142857142857,6
