,baseline rmse week 1,baseline rmse week 2,baseline rmse week 3,baseline rmse week 4,lastInputDay,pred rmse week 1,pred rmse week 2,pred rmse week 3,pred rmse week 4,model rmse,last_value_baseline_rmse,rel. diff. to last value baseline 1
0,0.01983368651425183,0.026465694374079474,0.027063778946957037,0.029779835260331063,2020-05-28,0.11173886292763562,0.11525224691947315,0.16895299584105236,0.17767538124886922,0.5736194869370304,0.1031429950956194,-4.561400329758241
1,0.019241167643083677,0.02529474146373391,0.025649934244335475,0.028414578486194293,2020-05-29,0.10067928312977191,0.11520659959322338,0.168093936419282,0.17739727808576297,0.5613770972280403,0.09860042183734735,-4.693455329776336
2,0.01866932454814231,0.023887201844433274,0.024158127342492158,0.026877043576271534,2020-05-30,0.087829785432641,0.11455771005305378,0.16557413928405437,0.17449671488230847,0.5424583496520576,0.09359169731133928,-4.79600931744546
3,0.01788014819247579,0.022142809409823227,0.022496386073056002,0.025049783098649518,2020-05-31,0.0782274246204698,0.11316630611762968,0.1626942058331382,0.17178067574901484,0.5258686123202525,0.08756912677400452,-5.005182781797021
4,0.01693418476921178,0.02027671949689059,0.020872376860687433,0.023110353187708953,2020-06-01,0.07017877412207346,0.11220861631146926,0.16015780346805847,0.16951474011016732,0.5120599340117685,0.08119363431449875,-5.306651233621771
5,0.015944728086274063,0.01840418003044361,0.01934851371751407,0.02116183979850191,2020-06-02,0.06332533760262934,0.11115992764434132,0.15842846204817987,0.16858373587463302,0.5014974631697836,0.07485926163273365,-5.699203975991318
6,0.01489536091400249,0.016617408318858194,0.017832457931964592,0.019247170778592088,2020-06-03,0.05758697198122248,0.11062948327221606,0.15873140644424488,0.17009115901199628,0.4970390207096797,0.06859239794341737,-6.24626978516909
7,0.013703508833089042,0.0150188974555125,0.016286058746348527,0.017431521315869777,2020-06-04,0.05105832667565045,0.10994158338769848,0.1577555140432022,0.1710256114444324,0.4897810355509835,0.06243998635081985,-6.844028549255963
8,0.012402017682971896,0.013566609821368678,0.014770812264025284,0.015748503355107888,2020-06-05,0.04395506434809763,0.10876120956481306,0.15592845207398168,0.17133699549125436,0.4799817214781467,0.056487943123473744,-7.4970649476293065
9,0.011261207782043313,0.012404340663809703,0.013427217551812235,0.014363993850202364,2020-06-06,0.03774424386417761,0.10657017320069274,0.15516317686762876,0.17222462158052065,0.4717022155130198,0.051456759847867614,-8.166963036685786
10,0.010304908503131566,0.0114943215607921,0.012273801413091319,0.013297214652489366,2020-06-07,0.03375773653061272,0.10455274082766783,0.15405507966320398,0.17263671651919882,0.46500227354068335,0.047370246129504356,-8.816336446076827
11,0.009461278640880063,0.010703332789480147,0.011217486810730728,0.012439239711180645,2020-06-08,0.032208951816056756,0.1030498174062946,0.15256128443841438,0.17244973032921362,0.46026978398997936,0.04382133795227158,-9.503325674156423
12,0.00869762699881025,0.009989692074375773,0.010265891886190846,0.011744439028932222,2020-06-09,0.03179349936124036,0.10239712751987223,0.1520674319333943,0.17365434511415317,0.4599124039286601,0.04069764998830909,-10.300711565920286
13,0.008166429554387799,0.009317342840844864,0.009541700882041329,0.011230932549480646,2020-06-10,0.03283613620961979,0.10114876708653465,0.1506880991198444,0.1735471473594786,0.4582201497754774,0.03825640582675464,-10.977605838105704
14,0.007816317223638172,0.0087211472934935,0.009058454505440608,0.01087358936187947,2020-06-11,0.034958055741557255,0.0996362254047995,0.1487473629099936,0.170820053916402,0.4541616979727523,0.036469508384451746,-11.453189475029438
15,0.007503182855121242,0.008170442939301095,0.008733270193989312,0.010597348266358003,2020-06-12,0.036880004221457305,0.09804622740349109,0.14348639241650515,0.16579878828571426,0.44421141232716777,0.035004244254769654,-11.690215766239255
16,0.007171982446216464,0.007656645467869167,0.008530307185763234,0.010362913353965164,2020-06-13,0.03691900982043825,0.09650522626084934,0.13419669773747467,0.15738922653993054,0.4250101603586928,0.03372184845381403,-11.603406392173117
17,0.006823692599312041,0.00724160775432114,0.008444702729737257,0.010209372065736994,2020-06-14,0.03671017447376935,0.09472085005998718,0.12855821272568585,0.1533172133001795,0.41330645055962184,0.03271937514910743,-11.631856466577316
18,0.0064391437021595575,0.006926616896826333,0.008444768411556723,0.010128392572377885,2020-06-15,0.036429217081656,0.09277205029576836,0.12533520991741198,0.15197247355653845,0.40650895085137484,0.0319389215829205,-11.727698078220573
19,0.005990364892833739,0.006686133574371944,0.008461519132973949,0.01009099081442129,2020-06-16,0.03619423386428185,0.09101229618117065,0.12366904178973358,0.15088522971151802,0.4017608015467041,0.03122900841460092,-11.864987456946071
20,0.005594486533680607,0.00657785041112524,0.008499616002595843,0.01012428585699749,2020-06-17,0.03600123732982007,0.08974518431567957,0.12121733322912395,0.1496068324651102,0.3965705873397338,0.030796238804399183,-11.877240946809533
21,0.00532741229691629,0.006553351745611382,0.0085343546651429,0.01020185024128026,2020-06-18,0.035922286501719615,0.08895108226597803,0.11963533081486001,0.1485491483920428,0.39305784797460047,0.03061696894895083,-11.83790856730348
22,0.005163015993168785,0.006597074605364475,0.008575673572104647,0.01032762277960477,2020-06-19,0.03614874979403982,0.08828259671363729,0.11705157181898698,0.14720376588238712,0.3886866842090512,0.030663386950242677,-11.675921444678343
23,0.005072496512828212,0.006683322434830875,0.008618017571852559,0.010486189649479236,2020-06-20,0.036007170838601235,0.08709374939471423,0.11277675059256481,0.14598186610533,0.38185953693121033,0.030860026168990883,-11.373921358333607
