,baseline rmse week 1,baseline rmse week 2,baseline rmse week 3,baseline rmse week 4,lastInputDay,pred rmse week 1,pred rmse week 2,pred rmse week 3,pred rmse week 4,model rmse,last_value_baseline_rmse,rel. diff. to last value baseline 1
0,0.01983368651425183,0.026465694374079474,0.027063778946957037,0.029779835260331063,2020-05-28,0.01009472970839795,0.007069788433840191,0.0056557337579468195,0.005331057456549362,0.028151309356734322,0.1031429950956194,0.7270652327806026
1,0.019241167643083677,0.02529474146373391,0.025649934244335475,0.028414578486194293,2020-05-29,0.009077687850826039,0.006802236230706726,0.005577457442056864,0.005236375390125089,0.026693756913714718,0.09860042183734735,0.7292734004956986
2,0.01866932454814231,0.023887201844433274,0.024158127342492158,0.026877043576271534,2020-05-30,0.008434011316425571,0.006534813460679737,0.005587398380452571,0.0053205284450211845,0.025876751602579066,0.09359169731133928,0.7235144532479387
3,0.01788014819247579,0.022142809409823227,0.022496386073056002,0.025049783098649518,2020-05-31,0.008045711728743323,0.006360657444152385,0.005826378762748266,0.0058843063053338335,0.026117054240977808,0.08756912677400452,0.7017549997000675
4,0.01693418476921178,0.02027671949689059,0.020872376860687433,0.023110353187708953,2020-06-01,0.007702618492578002,0.006301616129091786,0.006107423264235844,0.006563297465637313,0.026674955351542944,0.08119363431449875,0.6714649420886977
5,0.015944728086274063,0.01840418003044361,0.01934851371751407,0.02116183979850191,2020-06-02,0.007514832499686345,0.006506820116423939,0.006975818728875839,0.008034252922794107,0.02903172426778023,0.07485926163273365,0.6121825992592271
6,0.01489536091400249,0.016617408318858194,0.017832457931964592,0.019247170778592088,2020-06-03,0.0073615035622202575,0.006978360912057336,0.00828154692170018,0.010005414613164346,0.032626826009142115,0.06859239794341737,0.5243375798575179
7,0.013703508833089042,0.0150188974555125,0.016286058746348527,0.017431521315869777,2020-06-04,0.0075211323183201235,0.007791487131127993,0.009879230847889445,0.012069938618171683,0.03726178891550924,0.06243998635081985,0.4032383558485517
8,0.012402017682971896,0.013566609821368678,0.014770812264025284,0.015748503355107888,2020-06-05,0.007888673263234518,0.008805483729496572,0.011549427010241763,0.01412490481439194,0.0423684888173648,0.056487943123473744,0.2499551855737789
9,0.011261207782043313,0.012404340663809703,0.013427217551812235,0.014363993850202364,2020-06-06,0.008435352178394308,0.010042104628806047,0.013431413016668853,0.016309155473559156,0.048218025297428364,0.051456759847867614,0.06294089561827441
10,0.010304908503131566,0.0114943215607921,0.012273801413091319,0.013297214652489366,2020-06-07,0.009256915743951953,0.011685228177453504,0.01587444803916219,0.019120482342906597,0.05593707430347425,0.047370246129504356,-0.18084829347411982
11,0.009461278640880063,0.010703332789480147,0.011217486810730728,0.012439239711180645,2020-06-08,0.010333591295876588,0.013877738705332725,0.019218840906440944,0.023048132425521832,0.06647830333317209,0.04382133795227158,-0.5170304340222919
12,0.00869762699881025,0.009989692074375773,0.010265891886190846,0.011744439028932222,2020-06-09,0.01160357743622074,0.016324468245304653,0.022819170643194765,0.027298492499979676,0.07804570882469983,0.04069764998830909,-0.9176957108609327
13,0.008166429554387799,0.009317342840844864,0.009541700882041329,0.011230932549480646,2020-06-10,0.013019666825892971,0.019113931626436372,0.027076030456603596,0.03248373323095856,0.09169336213989149,0.03825640582675464,-1.3968106819842885
14,0.007816317223638172,0.0087211472934935,0.009058454505440608,0.01087358936187947,2020-06-11,0.01500983725017713,0.02259539988964124,0.03207343838875337,0.03842178154810704,0.10810045707667879,0.036469508384451746,-1.9641325552599407
15,0.007503182855121242,0.008170442939301095,0.008733270193989312,0.010597348266358003,2020-06-12,0.017287862551894132,0.026514593647307832,0.0377299489358535,0.04516555644991921,0.12669796158497468,0.035004244254769654,-2.6195028426505993
16,0.007171982446216464,0.007656645467869167,0.008530307185763234,0.010362913353965164,2020-06-13,0.019856996044610567,0.03092452238214797,0.04401674408340219,0.052547251226706795,0.14734551373686752,0.03372184845381403,-3.3694376344367436
17,0.006823692599312041,0.00724160775432114,0.008444702729737257,0.010209372065736994,2020-06-14,0.02249219427056675,0.03516869978229917,0.049804733952790795,0.05912534215893124,0.16659097016458796,0.03271937514910743,-4.091508300675249
18,0.0064391437021595575,0.006926616896826333,0.008444768411556723,0.010128392572377885,2020-06-15,0.025232262765096578,0.039626038946771865,0.055876716556108146,0.06596813125514928,0.18670314952312586,0.0319389215829205,-4.845630981572224
19,0.005990364892833739,0.006686133574371944,0.008461519132973949,0.01009099081442129,2020-06-16,0.027978346864760285,0.044169627688564556,0.06211832235633677,0.07298601843149471,0.20725231534115632,0.03122900841460092,-5.636532053456326
20,0.005594486533680607,0.00657785041112524,0.008499616002595843,0.01012428585699749,2020-06-17,0.07445305019646827,0.07586188876893799,0.08056735820239579,0.08508323662244803,0.3159655337902501,0.030796238804399183,-9.259874129340595
21,0.00532741229691629,0.006553351745611382,0.0085343546651429,0.01020185024128026,2020-06-18,0.039933169215650655,0.05604505265546598,0.07542848775237805,0.08709322773370438,0.25849993735719906,0.03061696894895083,-7.443028367315153
22,0.005163015993168785,0.006597074605364475,0.008575673572104647,0.01032762277960477,2020-06-19,0.037072325677581605,0.05783000986208146,0.08048723657228911,0.09338521279692234,0.2687747849088745,0.030663386950242677,-7.765332588504133
23,0.005072496512828212,0.006683322434830875,0.008618017571852559,0.010486189649479236,2020-06-20,0.03880558837832711,0.06205741172039922,0.08679611917436234,0.10053361431893254,0.2881927335920212,0.030860026168990883,-8.338706714435851
