output_case_inz_entries_7dayAverage_0,output_hosp_inz_entries_7dayAverage_0,output_death_inz_entries_7dayAverage_0,output_testPositvity_7dayAverage_0,output_transit_stations_percent_change_from_baseline_7dayAverage_0,output_workplaces_percent_change_from_baseline_7dayAverage_0,output_case_inz_entries_7dayAverage_1,output_hosp_inz_entries_7dayAverage_1,output_death_inz_entries_7dayAverage_1,output_testPositvity_7dayAverage_1,output_transit_stations_percent_change_from_baseline_7dayAverage_1,output_workplaces_percent_change_from_baseline_7dayAverage_1,output_case_inz_entries_7dayAverage_2,output_hosp_inz_entries_7dayAverage_2,output_death_inz_entries_7dayAverage_2,output_testPositvity_7dayAverage_2,output_transit_stations_percent_change_from_baseline_7dayAverage_2,output_workplaces_percent_change_from_baseline_7dayAverage_2,output_case_inz_entries_7dayAverage_3,output_hosp_inz_entries_7dayAverage_3,output_death_inz_entries_7dayAverage_3,output_testPositvity_7dayAverage_3,output_transit_stations_percent_change_from_baseline_7dayAverage_3,output_workplaces_percent_change_from_baseline_7dayAverage_3
9.407142857142858,1.5299999999999998,0.0728571428571428,0.2198469692845086,-14.142857142857142,-5.285714285714286,18.525714285714287,2.1128571428571425,0.3642857142857142,0.1543090116799021,-46.285714285714285,-31.285714285714285,22.685714285714287,3.0614285714285714,0.6557142857142857,0.1742096790711951,-67.57142857142857,-49.57142857142857,14.808571428571428,1.6771428571428573,0.8014285714285715,0.1592721738179027,-65.42857142857143,-49.85714285714285
10.428571428571429,1.8942857142857144,0.1457142857142857,0.2198105701401524,-16.285714285714285,-5.714285714285714,19.62,2.04,0.2914285714285714,0.1489995545989942,-52.57142857142857,-36.142857142857146,22.24857142857143,3.0614285714285714,0.8014285714285715,0.1808896647417109,-66.71428571428571,-49.42857142857143,13.641428571428571,1.4585714285714284,0.8014285714285714,0.1507218247331625,-65.0,-49.42857142857143
11.231428571428571,1.8942857142857144,0.2914285714285714,0.2167693915253906,-19.0,-6.142857142857143,21.44428571428572,2.3314285714285714,0.1457142857142857,0.1453615513362881,-58.57142857142857,-41.142857142857146,20.20571428571429,2.915714285714286,0.8742857142857143,0.1838297212069682,-67.28571428571429,-50.142857142857146,13.422857142857142,1.3128571428571427,0.8742857142857143,0.1438089056202127,-63.42857142857143,-48.285714285714285
12.544285714285715,1.967142857142857,0.3642857142857142,0.2105656140197555,-22.285714285714285,-9.428571428571429,24.507142857142856,2.2585714285714285,0.1457142857142857,0.1450408770953622,-62.57142857142857,-44.57142857142857,18.164285714285715,3.281428571428571,0.8014285714285715,0.1829311735492055,-67.42857142857143,-50.285714285714285,11.671428571428573,0.8742857142857143,0.9471428571428572,0.1360657621665051,-62.85714285714285,-48.142857142857146
14.002857142857144,1.6757142857142855,0.4371428571428571,0.1985986097505165,-28.0,-14.428571428571429,24.652857142857147,2.2585714285714285,0.2185714285714285,0.1494612481922188,-64.42857142857143,-46.57142857142857,17.508571428571425,3.3542857142857145,0.6557142857142857,0.1786165975192699,-66.85714285714286,-50.142857142857146,10.868571428571428,0.7285714285714285,1.092857142857143,0.12888692553998,-62.85714285714285,-48.0
15.024285714285712,1.7485714285714284,0.4371428571428571,0.1774900344570095,-34.285714285714285,-20.0,23.851428571428567,2.2585714285714285,0.5828571428571429,0.1573464365476856,-65.85714285714286,-47.85714285714285,16.997142857142855,2.99,0.4371428571428571,0.1734655339938492,-66.28571428571429,-50.142857142857146,9.482857142857142,0.8742857142857143,1.092857142857143,0.1199915221291666,-62.85714285714285,-47.85714285714285
16.11857142857143,1.7485714285714289,0.3642857142857142,0.163831485706982,-40.285714285714285,-25.571428571428573,23.56,2.5500000000000003,0.5828571428571429,0.1666882627546798,-67.0,-49.0,15.902857142857142,2.5528571428571425,0.51,0.1666700825240946,-65.71428571428571,-50.0,8.754285714285714,0.8014285714285715,1.02,0.1113505407056049,-62.42857142857143,-48.142857142857146
18.525714285714287,2.1128571428571425,0.3642857142857142,0.1543090116799021,-46.285714285714285,-31.285714285714285,22.685714285714287,3.0614285714285714,0.6557142857142857,0.1742096790711951,-67.57142857142857,-49.57142857142857,14.808571428571428,1.6771428571428573,0.8014285714285715,0.1592721738179027,-65.42857142857143,-49.85714285714285,7.075714285714286,0.8014285714285714,0.7285714285714285,0.102172625755502,-64.0,-53.0
19.62,2.04,0.2914285714285714,0.1489995545989942,-52.57142857142857,-36.142857142857146,22.24857142857143,3.0614285714285714,0.8014285714285715,0.1808896647417109,-66.71428571428571,-49.42857142857143,13.641428571428571,1.4585714285714284,0.8014285714285714,0.1507218247331625,-65.0,-49.42857142857143,6.564285714285715,0.7285714285714285,0.5828571428571429,0.0942324515133576,-63.71428571428572,-52.57142857142857
21.44428571428572,2.3314285714285714,0.1457142857142857,0.1453615513362881,-58.57142857142857,-41.142857142857146,20.20571428571429,2.915714285714286,0.8742857142857143,0.1838297212069682,-67.28571428571429,-50.142857142857146,13.422857142857142,1.3128571428571427,0.8742857142857143,0.1438089056202127,-63.42857142857143,-48.285714285714285,6.198571428571428,0.6557142857142857,0.5828571428571429,0.0865562565895938,-63.85714285714285,-51.42857142857143
24.507142857142856,2.2585714285714285,0.1457142857142857,0.1450408770953622,-62.57142857142857,-44.57142857142857,18.164285714285715,3.281428571428571,0.8014285714285715,0.1829311735492055,-67.42857142857143,-50.285714285714285,11.671428571428573,0.8742857142857143,0.9471428571428572,0.1360657621665051,-62.85714285714285,-48.142857142857146,5.47,0.4371428571428571,0.5828571428571429,0.0804206722185367,-65.57142857142857,-56.0
