modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
modelClass=Keras/isMultiWeek=True/hiddenLayers=[100]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001,10,0.0904478434175682,0.16373982039176682,0.11006964252177773,0.29486081431340805,0.17826712847120652,0.44468775624512963,Keras,True,[100],1.0,False,0.0,0.0001,0.0,0.0001,54.0,12437,,,,145.0,67.0,15.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[30, 20]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0905026642153633,0.1598178105331036,0.11006964252177773,0.29486081431340805,0.17776907290802754,0.4579889806475506,Keras,True,"[30, 20]",2.0,False,0.0,0.0001,0.0,0.0001,56.0,12460,,,,147.0,16.0,16.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 100, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0/learningRate=0.001",10,0.08427523362917971,0.1667076072829336,0.11006964252177773,0.29486081431340805,0.23434625843810192,0.43462271285142756,Keras,True,"[400, 100, 50]",3.0,False,0.0,0.0,0.0,0.001,12.0,3036,,,,17.0,147.0,16.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0857790713568096,0.1668456908472076,0.11006964252177773,0.29486081431340805,0.22068365635113374,0.43415441202076094,Keras,True,"[250, 250]",2.0,False,0.0,0.0001,0.0,0.0001,25.0,12454,,,,35.0,151.0,17.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[175]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001,10,0.0809852114694775,0.166879149134481,0.11006964252177773,0.29486081431340805,0.26423662679331184,0.4340409405601625,Keras,True,[175],1.0,False,0.0,0.0001,0.3,0.0001,53.0,17336,,,,7.0,152.0,18.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[175, 87]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0/learningRate=0.001",10,0.08829889963889301,0.16701006257248371,0.11006964252177773,0.29486081431340805,0.19779062041177511,0.43359695671542015,Keras,True,"[175, 87]",2.0,False,0.0,0.0,0.0,0.001,13.0,3016,,,,80.0,155.0,19.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[300, 150, 75]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0.2/learningRate=0.0001",10,0.0909220638957746,0.1651180996552566,0.11006964252177773,0.29486081431340805,0.17395876090189624,0.4400134177213786,Keras,True,"[300, 150, 75]",3.0,False,0.0,0.0,0.2,0.0001,22.0,15272,,,,162.0,95.0,20.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[70]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.001/dropoutValue=0.3/learningRate=0.0001,10,0.0853506438701306,0.16719703724369478,0.11006964252177773,0.29486081431340805,0.22457598739594686,0.43296284508669647,Keras,True,[70],1.0,False,0.0,0.001,0.3,0.0001,107.0,17398,,,,28.0,163.0,21.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[125, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.08966075175503889,0.16720179626351958,0.11006964252177773,0.29486081431340805,0.18541797991849437,0.4329467052010495,Keras,True,"[125, 125]",2.0,False,0.0,0.0001,0.0,0.0001,25.0,12450,,,,120.0,164.0,22.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[175]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001,10,0.0883532758199532,0.1674918146025159,0.11006964252177773,0.29486081431340805,0.19729660426150525,0.4319631281202101,Keras,True,[175],1.0,False,0.0,0.0001,0.2,0.0001,55.0,14888,,,,84.0,172.0,23.0
