modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
modelClass=Keras/isMultiWeek=True/hiddenLayers=[90]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.8110218237120954,2.7292819770013304,2.217556984171578,3.827809465826908,0.18332568829628235,0.28698593768388275,Keras,True,[90],1.0,False,0.01,0.001,0.5,0.0001,107.0,18624,,,,274.0,415.0,15.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[100, 50, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.001/alpha=0.001/dropoutValue=0.2/learningRate=0.001",10,1.8115892178431021,2.731525258480341,2.217556984171578,3.827809465826908,0.18306982378634795,0.28639988931887456,Keras,True,"[100, 50, 50]",3.0,False,0.001,0.001,0.2,0.001,18.0,3569,,,,278.0,427.0,16.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.2/learningRate=0.0001,10,1.8101257698182933,2.73166214622651,2.217556984171578,3.827809465826908,0.18372976084106832,0.28636412793958155,Keras,True,[1000],1.0,False,0.01,0.0,0.2,0.0001,92.0,14012,,,,269.0,433.0,17.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[60]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.2/learningRate=0.0001,10,1.8472297918592642,2.7158826937079747,2.217556984171578,3.827809465826908,0.16699782461313326,0.29048644715620076,Keras,True,[60],1.0,False,0.01,0.0,0.2,0.0001,71.0,13997,,,,437.0,325.0,18.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[125]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.8285138819590092,2.733333984652337,2.217556984171578,3.827809465826908,0.17543770238576545,0.28592736679962605,Keras,True,[125],1.0,False,0.01,0.001,0.5,0.0001,105.0,18626,,,,341.0,443.0,19.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[60]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.3/learningRate=0.0001,10,1.8488326400682578,2.6936726114535317,2.217556984171578,3.827809465826908,0.16627502550563147,0.2962887428171331,Keras,True,[60],1.0,False,0.01,0.001,0.3,0.0001,97.0,16173,,,,444.0,207.0,20.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[350]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.3/learningRate=0.0001,10,1.849293169489398,2.7233891722504175,2.217556984171578,3.827809465826908,0.1660673512837615,0.2885254094897606,Keras,True,[350],1.0,False,0.01,0.001,0.3,0.0001,53.0,16185,,,,446.0,374.0,21.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[60]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.7988255273099978,2.736653463582297,2.217556984171578,3.827809465826908,0.18882556788862295,0.28506016613052404,Keras,True,[60],1.0,False,0.01,0.001,0.5,0.0001,136.0,18621,,,,225.0,456.0,22.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[40]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.5/learningRate=0.001,10,1.8520360835151979,2.7099345786183293,2.217556984171578,3.827809465826908,0.1648304432604826,0.2920403685681069,Keras,True,[40],1.0,False,0.001,0.0,0.5,0.001,31.0,8691,,,,460.0,290.0,23.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[50]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001,10,1.8532651400894056,2.720879451264344,2.217556984171578,3.827809465826908,0.16427620425648837,0.28918106411637645,Keras,True,[50],1.0,False,0.01,0.0001,0.5,0.0001,149.0,18552,,,,470.0,352.0,24.0
