modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250, 125]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.0001/alpha=0.001/dropoutValue=0.5/learningRate=0.001",10,35.825515477301884,37.52188362613011,39.69016558244563,105.3487012727533,0.09737047070554482,0.6438315501490238,Keras,True,"[500, 250, 125]",3.0,False,0.0001,0.001,0.5,0.001,49.0,8069,,,,30.0,10.0,1.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 125, 62]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.1/alpha=0.0001/dropoutValue=0.5/learningRate=0.001",10,36.02117809289276,43.48543314438122,39.69016558244563,105.3487012727533,0.09244072015601788,0.587223832671699,Keras,True,"[250, 125, 62]",3.0,False,0.1,0.0001,0.5,0.001,51.0,9218,,,,39.0,39.0,2.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 1000]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=1/alpha=0/dropoutValue=0.2/learningRate=0.001",10,35.804386324157754,44.39868932857964,39.69016558244563,105.3487012727533,0.09790282306119928,0.578554943799173,Keras,True,"[1000, 1000]",2.0,False,1.0,0.0,0.2,0.001,61.0,5046,,,,29.0,47.0,3.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 1000]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=1/alpha=1/dropoutValue=0.2/learningRate=0.001",10,35.695546625806166,44.5320791596458,39.69016558244563,105.3487012727533,0.10064505647732103,0.5772887693759992,Keras,True,"[1000, 1000]",2.0,False,1.0,1.0,0.2,0.001,82.0,4978,,,,24.0,49.0,4.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[30, 20]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.1/alpha=0.1/dropoutValue=0.5/learningRate=0.001",10,35.3516365215135,46.12855381205204,39.69016558244563,105.3487012727533,0.10930992595432755,0.5621345754170922,Keras,True,"[30, 20]",2.0,False,0.1,0.1,0.5,0.001,78.0,9400,,,,15.0,56.0,5.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[40, 20]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.1/alpha=0.01/dropoutValue=0.5/learningRate=0.001",10,35.940800462568745,46.132349966006785,39.69016558244563,105.3487012727533,0.09446584726608379,0.5620985412381334,Keras,True,"[40, 20]",2.0,False,0.1,0.01,0.5,0.001,41.0,9333,,,,36.0,57.0,6.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.1/alpha=1/dropoutValue=0.5/learningRate=0.001",10,35.37157237838245,46.860378967363076,39.69016558244563,105.3487012727533,0.10880763888708055,0.5551878817562345,Keras,True,"[250, 250]",2.0,False,0.1,1.0,0.5,0.001,55.0,9462,,,,17.0,58.0,7.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[225, 225]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=1/alpha=0.0001/dropoutValue=0.2/learningRate=0.001",10,36.65217152567416,41.585443971784045,39.69016558244563,105.3487012727533,0.07654274080718693,0.6052590732550451,Keras,True,"[225, 225]",2.0,False,1.0,0.0001,0.2,0.001,61.0,4701,,,,59.0,25.0,8.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 1000]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=1/alpha=0.01/dropoutValue=0.2/learningRate=0.001",10,34.93221520131762,47.31835601128111,39.69016558244563,105.3487012727533,0.11987731246030334,0.5508406326835353,Keras,True,"[1000, 1000]",2.0,False,1.0,0.01,0.2,0.001,77.0,4842,,,,13.0,60.0,9.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 100]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=1/alpha=0.0001/dropoutValue=0.3/learningRate=0.001",10,35.88296952210292,47.537438776707425,39.69016558244563,105.3487012727533,0.09592290695876002,0.5487610364210328,Keras,True,"[200, 100]",2.0,False,1.0,0.0001,0.3,0.001,53.0,7165,,,,33.0,62.0,10.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250, 125]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.1/alpha=0.1/dropoutValue=0.5/learningRate=0.001",10,34.37417267779026,48.315573435252155,39.69016558244563,105.3487012727533,0.13393728211117747,0.5413747597119342,Keras,True,"[500, 250, 125]",3.0,False,0.1,0.1,0.5,0.001,43.0,9429,,,,4.0,64.0,11.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 125, 62]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.1/alpha=0.01/dropoutValue=0.5/learningRate=0.001",10,35.48751144210153,48.34200442067705,39.69016558244563,105.3487012727533,0.1058865358375545,0.5411238692395736,Keras,True,"[250, 125, 62]",3.0,False,0.1,0.01,0.5,0.001,37.0,9354,,,,20.0,65.0,12.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[100, 50]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.1/alpha=1/dropoutValue=0.5/learningRate=0.001",10,36.76170345386755,43.50687987255123,39.69016558244563,105.3487012727533,0.07378306655070489,0.5870202541945948,Keras,True,"[100, 50]",2.0,False,0.1,1.0,0.5,0.001,93.0,9474,,,,66.0,40.0,13.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[30, 20]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.1/alpha=0.001/dropoutValue=0.5/learningRate=0.001",10,36.19333415338178,49.86676215217128,39.69016558244563,105.3487012727533,0.08810322098052545,0.5266504328034987,Keras,True,"[30, 20]",2.0,False,0.1,0.001,0.5,0.001,64.0,9264,,,,45.0,68.0,14.0
