modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0/learningRate=0.001,10,24.50135854641007,13.529618841839401,46.151967285466355,52.131138656156125,0.4691156198204848,0.7404695314430524,Keras,True,[1000],1.0,False,0.01,0.0001,0.0,0.001,33.0,1432,,,,76.0,90.0,1.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 1000]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.2/learningRate=0.001",10,25.55728015525124,14.318651330045354,46.151967285466355,52.131138656156125,0.4462363869091352,0.7253340000016578,Keras,True,"[1000, 1000]",2.0,False,0.01,0.001,0.2,0.001,28.0,3958,,,,660.0,648.0,2.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 175, 85]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.2/learningRate=0.0001",10,24.505454009679642,14.432862763349245,46.151967285466355,52.131138656156125,0.4690268811705321,0.7231431513793555,Keras,True,"[350, 175, 85]",3.0,False,0.01,0.001,0.2,0.0001,19.0,13775,,,,78.0,785.0,3.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200, 100]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.001/alpha=0.0001/dropoutValue=0/learningRate=0.001",10,25.675991936595565,13.944244479098895,46.151967285466355,52.131138656156125,0.4436641936024003,0.7325160194356846,Keras,True,"[400, 200, 100]",3.0,False,0.001,0.0001,0.0,0.001,14.0,1061,,,,834.0,290.0,4.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[400]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.2/learningRate=0.001,10,24.741100749548,14.491905395742359,46.151967285466355,52.131138656156125,0.4639209939521,0.7220105723888496,Keras,True,[400],1.0,False,0.01,0.0,0.2,0.001,27.0,4218,,,,130.0,856.0,5.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[500]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.001/alpha=0.0001/dropoutValue=0.5/learningRate=0.001,10,25.574467443715456,14.497813159436724,46.151967285466355,52.131138656156125,0.44586398049885356,0.7218972473426938,Keras,True,[500],1.0,False,0.001,0.0001,0.5,0.001,16.0,8367,,,,681.0,867.0,6.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[200]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.2/learningRate=0.001,10,25.727706360801147,14.37605594684761,46.151967285466355,52.131138656156125,0.44254366879604246,0.724232842070294,Keras,True,[200],1.0,False,0.01,0.001,0.2,0.001,36.0,3941,,,,906.0,729.0,7.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 175]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.3/learningRate=0.001",10,24.958438322668904,14.568905888162712,46.151967285466355,52.131138656156125,0.4592118214963173,0.7205335186661556,Keras,True,"[350, 175]",2.0,False,0.01,0.0001,0.3,0.001,18.0,6352,,,,218.0,959.0,8.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[500]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.3/learningRate=0.001,10,25.663919079981603,14.643486549755165,46.151967285466355,52.131138656156125,0.44392578281135614,0.7191028830898952,Keras,True,[500],1.0,False,0.01,0.001,0.3,0.001,28.0,6395,,,,813.0,1060.0,9.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[100, 100]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0/learningRate=0.001",10,24.104453825409966,14.660380239397544,46.151967285466355,52.131138656156125,0.47771557220269,0.7187788216924683,Keras,True,"[100, 100]",2.0,False,0.01,0.0001,0.0,0.001,13.0,1433,,,,39.0,1077.0,10.0
