modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,iteration,l1_ratio,max_features,n_estimators,min_samples_leaf,tol,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,rank1,rank2,overallRank
modelClass=Lasso/isMultiWeek=True/alpha=0.0005/tol=0.0001,10,0.7670413312057449,1.262458010533488,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0005,,,,215_sklearn,,,,,,0.0001,0.1584664906067487,0.38113107640858673,85.0,4.0,20.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0005/tol=1e-05,10,0.7670637505159934,1.262501255287297,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0005,,,,216_sklearn,,,,,,1e-05,0.1584418940171465,0.3811098774189828,86.0,5.0,21.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.7/min_samples_leaf=8,10,0.6971291557773154,1.4090256330130106,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,355_sklearn,,,0.7,1000.0,8.0,,0.2351682743882304,0.30928223391209503,6.0,87.0,22.0
modelClass=MultiTaskLasso/isMultiWeek=True/alpha=0.001,10,0.7684721691904215,1.2589737580856086,0.9114804373729389,2.0399441019064355,MultiTaskLasso,True,,,,,0.001,,,,20_sklearn,,,,,,,0.15689669500169925,0.38283909009613,89.0,1.0,23.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.5/min_samples_leaf=4,10,0.7699254048840389,1.4091746229955975,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,346_sklearn,,,0.5,1000.0,4.0,,0.15530232650619327,0.3092091976056357,93.0,88.0,24.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.4/min_samples_leaf=8,10,0.770076713591378,1.4045517448360323,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,343_sklearn,,,0.4,1000.0,8.0,,0.15513632326450533,0.3114753764461465,94.0,83.0,25.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.6/min_samples_leaf=1,10,0.7647377675198728,1.412090199108745,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,348_sklearn,,,0.6,1000.0,1.0,,0.16099376776094793,0.3077799544658738,79.0,96.0,26.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.7/min_samples_leaf=1,10,0.7524773959945364,1.4125079287598408,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,352_sklearn,,,0.7,1000.0,1.0,,0.17444482060051633,0.30757517941801565,64.0,97.0,27.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.8/min_samples_leaf=8,10,0.673381782796961,1.4134101369497984,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,359_sklearn,,,0.8,1000.0,8.0,,0.26122190319544736,0.3071329083826895,3.0,98.0,28.0
modelClass=MultiTaskLasso/isMultiWeek=True/alpha=0.002/tol=0.0001,10,0.7727042298203242,1.3053828267909162,0.9114804373729389,2.0399441019064355,MultiTaskLasso,True,,,,,0.002,,,,180_sklearn,,,,,,0.0001,0.15225363251085713,0.3600889232352166,98.0,43.0,28.0
modelClass=MultiTaskLasso/isMultiWeek=True/alpha=0.002/tol=1e-05,10,0.7727855744599842,1.3053862390125255,0.9114804373729389,2.0399441019064355,MultiTaskLasso,True,,,,,0.002,,,,181_sklearn,,,,,,1e-05,0.15216438798478207,0.3600872505317312,99.0,44.0,29.0
modelClass=Lasso/isMultiWeek=True/alpha=0.002/tol=1e-05,10,0.7732650512728974,1.3455675547436616,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.002,,,,192_sklearn,,,,,,1e-05,0.15163834618152067,0.3403899874088914,102.0,49.0,30.0
