"Datum","Beschreibung","Ausprägung","Total","Kanton_Zürich_Ja","Kanton_Zürich_Nein","Alter_15-29","Alter_30-64","Alter_65-79","Männlich","Weiblich","Städtisch","Ländlich","Erwerbstätig","In_Ausbildung","Nicht_Erwerbstätig","Abotyp_GA","Abotyp_Halbtax/Strecken-/Verbundabo","Abotyp_kein_Abo","Auto_Ja","Auto_Nein","Haushaltsgrösse_1_Person","Haushaltsgrösse_2_Personen","Haushaltsgrösse_3+_Personen","Kinder_Ja","Kinder_Nein","D-CH","F-CH","I-CH"
"2020-01-01","Distanz","weniger als 2 Km",24.0918570783065,25.0906594193882,23.8527034160854,20.4701354992894,24.4418933444469,27.8811812734266,24.9817452546444,23.2014348622549,24.8813527736296,23.0762877766797,23.626877429013,17.6086241295776,31.2162917101711,20.5279492093549,23.4173954532857,28.6486301037721,23.4544486231012,27.7781524735487,24.970251645918,24.6876782787624,23.2526658047413,24.5954588823738,23.9955298662613,23.4564312938733,26.4227409513634,20.4218516774291
"2020-01-01","Distanz","2 - 10 Kilometer",21.3901293309627,21.6474753391081,21.3285102920653,18.4351428695935,21.731018745824,24.2541443495508,20.3706655462271,22.4102049163294,22.6820382668791,19.7282797938641,21.721931333707,17.4980924480813,22.8479939853667,20.5418044965348,21.7967827542255,20.8328463361432,20.5410469889454,25.65465405473,21.8357236561289,22.8044833469991,19.852300889733,21.1122195346151,21.4091469233285,21.5525818022089,20.5798691016963,23.6436490768752
"2020-01-01","Distanz","10 - 20 Kilometer",14.8697698459903,15.0176164568652,14.8343693898806,15.397870513213,15.0400831041793,13.4055958364033,13.6227307626399,16.1175573024653,14.7528208571575,15.0202074020383,14.7754996200569,16.8669404904728,13.7710242931109,14.5351532078748,14.9433297286403,14.5696853586325,15.2252042273694,12.7003200847674,14.0234369052223,15.6374444189569,14.5253999784905,14.2960971937159,14.9862762421461,14.7838197563108,14.8889519812026,16.1902443307445
"2020-01-01","Distanz","20 - 50 Kilometer",18.4644696123509,17.9643802208161,18.5842112313923,21.8126782193415,17.9628575772071,15.6944434591849,20.0529597020645,16.8750262379266,16.5913411837583,20.8739719584083,18.4639465290585,24.236015556454,14.0345797432314,16.8197210940601,19.334074993745,17.5493116704568,19.9728650924465,10.7021042698592,14.1056185917813,16.4988548526354,22.3724780515187,21.569949266154,17.6272490215252,18.9499672720373,16.9685833038843,19.5195999393364
"2020-01-01","Distanz","50 - 100 Kilometer",11.3674043007089,12.3154587508501,11.1404017353258,14.139731105533,10.8074688410786,9.66933889830569,12.0533476449063,10.6810493081754,10.5787658527098,12.3818708805968,11.4531933366532,12.0474303224424,10.4493111661795,13.2487404915308,11.4400398879705,9.98461900027766,11.2252517378556,12.2870146825763,13.3173703471676,11.6039261045878,10.2850538176835,9.81622554729001,11.8533453360668,11.2805776498819,11.929674660267,9.37013593441943
"2020-01-01","Distanz","100++ Kilometer",9.81636983168056,7.96440981297227,10.2598039352505,9.74444179302962,10.0166783872641,9.09529618312881,8.91855108951783,10.7147273728484,10.5136810658657,8.91938218841277,9.95855175151134,11.7428970529719,7.68079910194026,14.3266315006447,9.06837718213306,8.41490753071767,9.58118333028187,10.8777544345184,11.7475988537819,8.76761299805844,9.71210145783307,8.61004957585122,10.1284526106722,9.97662222568788,9.21018000158641,10.8545190411954
"2020-01-01","Radius","weniger als 500 Meter",22.8521401023892,23.7713249284703,22.6320500922104,18.4063490216039,23.4111617717265,26.9709897545913,24.4365578255681,21.2667715384083,23.4668693722896,22.0613819272395,22.6722652323374,15.6140769211633,29.2406751597355,18.2715114398003,21.8267041545386,29.0037738053002,22.5621676549649,24.6215622309716,23.6825662337832,22.7531027816872,22.6142500923678,24.3224154102357,22.4631684037105,22.1988677830307,25.1930125571076,19.4194650425843
"2020-01-01","Radius","500 Meter - 2 Kilometer",13.7812239125291,12.7430790550014,14.0297977638127,12.2979826694183,13.3703660099991,17.6155994497083,12.8130049985836,14.7500238740325,13.0648731320035,14.7027031127425,13.4372494202304,12.8669829701712,16.0705459712608,14.7753415058863,14.9144200942253,10.283563920588,13.1234681573136,17.4307207407425,14.141189782319,14.9924905034739,12.6103877618124,12.8741863696833,14.0688034462394,13.9297607145361,13.6950419795502,11.8246182581557
"2020-01-01","Radius","2 - 10 Kilometer",26.3184334160937,27.9014052078771,25.9394059692941,23.0093893025545,27.7559713448467,25.1773289366367,25.2792563017567,27.3582341614254,27.6712727301602,24.5782059702206,27.222457483132,22.0902336352245,25.3940159091069,23.3531446226645,26.5550668259645,26.9559680324998,26.6428325301647,23.7233842522997,23.6569191012886,26.625636841471,27.0229437053108,28.520878821403,25.5010417161037,26.6068292055056,23.958399822735,35.9740503348473
"2020-01-01","Radius","10 - 20 Kilometer",13.8556835200657,13.9016142844135,13.8446858380914,18.381829934658,13.0155491641006,10.778523607959,15.1391746864025,12.5714221049794,12.4667020274646,15.6424025266035,13.9675571726294,19.3018063314515,9.15706538835477,15.0818670850345,13.0249408295686,15.5158710834234,14.8647483278943,8.93159084714853,12.3625026825609,13.541402008836,15.0284302051049,14.1402703750614,13.8756264608364,13.7656701956027,14.0268788684946,14.3113879997765
