date,geoRegion,vaccine,entries,type_variant,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2021-04-15,CHFL,moderna,NA,vaccine_type,8644780,992552,NA,NA,11.48,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-16,CHFL,moderna,NA,vaccine_type,8644780,1018238,NA,NA,11.78,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-17,CHFL,moderna,NA,vaccine_type,8644780,1029066,NA,NA,11.9,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-18,CHFL,moderna,NA,vaccine_type,8644780,1033064,NA,NA,11.95,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-19,CHFL,moderna,NA,vaccine_type,8644780,1053360,NA,NA,12.18,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-20,CHFL,moderna,NA,vaccine_type,8644780,1081740,NA,NA,12.51,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-21,CHFL,moderna,NA,vaccine_type,8644780,1120622,NA,NA,12.96,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-22,CHFL,moderna,NA,vaccine_type,8644780,1160201,NA,NA,13.42,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-23,CHFL,moderna,NA,vaccine_type,8644780,1192322,NA,NA,13.79,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-24,CHFL,moderna,NA,vaccine_type,8644780,1209870,NA,NA,14,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-25,CHFL,moderna,NA,vaccine_type,8644780,1218271,NA,NA,14.09,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-26,CHFL,moderna,NA,vaccine_type,8644780,1246201,NA,NA,14.42,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-27,CHFL,moderna,NA,vaccine_type,8644780,1284304,NA,NA,14.86,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-28,CHFL,moderna,NA,vaccine_type,8644780,1328726,NA,NA,15.37,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-29,CHFL,moderna,NA,vaccine_type,8644780,1366902,NA,NA,15.81,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-04-30,CHFL,moderna,NA,vaccine_type,8644780,1400954,NA,NA,16.21,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-01,CHFL,moderna,NA,vaccine_type,8644780,1418003,NA,NA,16.4,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-02,CHFL,moderna,NA,vaccine_type,8644780,1426219,NA,NA,16.5,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-03,CHFL,moderna,NA,vaccine_type,8644780,1453120,NA,NA,16.81,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-04,CHFL,moderna,NA,vaccine_type,8644780,1490279,NA,NA,17.24,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-05,CHFL,moderna,NA,vaccine_type,8644780,1540813,NA,NA,17.82,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-06,CHFL,moderna,NA,vaccine_type,8644780,1592808,NA,NA,18.43,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-07,CHFL,moderna,NA,vaccine_type,8644780,1646376,NA,NA,19.04,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-08,CHFL,moderna,NA,vaccine_type,8644780,1671554,NA,NA,19.34,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-09,CHFL,moderna,NA,vaccine_type,8644780,1687352,NA,NA,19.52,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-10,CHFL,moderna,NA,vaccine_type,8644780,1733811,NA,NA,20.06,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-11,CHFL,moderna,NA,vaccine_type,8644780,1789068,NA,NA,20.7,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-12,CHFL,moderna,NA,vaccine_type,8644780,1854983,NA,NA,21.46,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-13,CHFL,moderna,NA,vaccine_type,8644780,1883553,NA,NA,21.79,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-14,CHFL,moderna,NA,vaccine_type,8644780,1933626,NA,NA,22.37,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-15,CHFL,moderna,NA,vaccine_type,8644780,1962795,NA,NA,22.7,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-16,CHFL,moderna,NA,vaccine_type,8644780,1977181,NA,NA,22.87,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-17,CHFL,moderna,NA,vaccine_type,8644780,2025933,NA,NA,23.44,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-18,CHFL,moderna,NA,vaccine_type,8644780,2085594,NA,NA,24.13,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-19,CHFL,moderna,NA,vaccine_type,8644780,2162819,NA,NA,25.02,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-20,CHFL,moderna,NA,vaccine_type,8644780,2234289,NA,NA,25.85,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-21,CHFL,moderna,NA,vaccine_type,8644780,2299432,NA,NA,26.6,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-22,CHFL,moderna,NA,vaccine_type,8644780,2331845,NA,NA,26.97,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-23,CHFL,moderna,NA,vaccine_type,8644780,2353176,NA,NA,27.22,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-24,CHFL,moderna,NA,vaccine_type,8644780,2385892,NA,NA,27.6,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-25,CHFL,moderna,NA,vaccine_type,8644780,2448539,NA,NA,28.32,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-26,CHFL,moderna,NA,vaccine_type,8644780,2522510,NA,NA,29.18,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-27,CHFL,moderna,NA,vaccine_type,8644780,2594286,NA,NA,30.01,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-28,CHFL,moderna,NA,vaccine_type,8644780,2662833,NA,NA,30.8,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-29,CHFL,moderna,NA,vaccine_type,8644780,2699889,NA,NA,31.23,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-30,CHFL,moderna,NA,vaccine_type,8644780,2721279,NA,NA,31.48,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-05-31,CHFL,moderna,NA,vaccine_type,8644780,2778200,NA,NA,32.14,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-01,CHFL,moderna,NA,vaccine_type,8644780,2847697,NA,NA,32.94,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-02,CHFL,moderna,NA,vaccine_type,8644780,2937901,NA,NA,33.98,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-03,CHFL,moderna,NA,vaccine_type,8644780,3016294,NA,NA,34.89,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-04,CHFL,moderna,NA,vaccine_type,8644780,3099221,NA,NA,35.85,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-05,CHFL,moderna,NA,vaccine_type,8644780,3153484,NA,NA,36.48,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-06,CHFL,moderna,NA,vaccine_type,8644780,3178723,NA,NA,36.77,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-07,CHFL,moderna,NA,vaccine_type,8644780,3254124,NA,NA,37.64,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-08,CHFL,moderna,NA,vaccine_type,8644780,3338139,NA,NA,38.61,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-09,CHFL,moderna,NA,vaccine_type,8644780,3432116,NA,NA,39.7,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-10,CHFL,moderna,NA,vaccine_type,8644780,3512810,NA,NA,40.64,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-11,CHFL,moderna,NA,vaccine_type,8644780,3592791,NA,NA,41.56,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-12,CHFL,moderna,NA,vaccine_type,8644780,3645647,NA,NA,42.17,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-13,CHFL,moderna,NA,vaccine_type,8644780,3670367,NA,NA,42.46,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-14,CHFL,moderna,NA,vaccine_type,8644780,3743452,NA,NA,43.3,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-15,CHFL,moderna,NA,vaccine_type,8644780,3823196,NA,NA,44.23,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-16,CHFL,moderna,NA,vaccine_type,8644780,3916319,NA,NA,45.3,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-17,CHFL,moderna,NA,vaccine_type,8644780,4001373,NA,NA,46.29,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-18,CHFL,moderna,NA,vaccine_type,8644780,4081317,NA,NA,47.21,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-19,CHFL,moderna,NA,vaccine_type,8644780,4126988,NA,NA,47.74,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-20,CHFL,moderna,NA,vaccine_type,8644780,4150382,NA,NA,48.01,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-21,CHFL,moderna,NA,vaccine_type,8644780,4218942,NA,NA,48.8,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-22,CHFL,moderna,NA,vaccine_type,8644780,4291983,NA,NA,49.65,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-06-23,CHFL,moderna,NA,vaccine_type,8644780,4369753,NA,NA,50.55,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-14,CHFL,pfizer_biontech,NA,vaccine_type,8644780,317133,NA,NA,3.67,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-15,CHFL,pfizer_biontech,NA,vaccine_type,8644780,326099,NA,NA,3.77,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
2021-02-16,CHFL,pfizer_biontech,NA,vaccine_type,8644780,337399,NA,NA,3.9,NA,COVID19VaccDosesAdministered,2021-06-23_23-59-00,summary
