geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH,202009,56,56,1,100,8606033,0.65,0.65,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202010,376,432,1,100,8606033,4.37,5.02,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-10,320,3.72,571.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202011,2266,2698,1,100,8606033,26.33,31.35,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-11,1890,21.96,502.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202012,6559,9257,1,100,8606033,76.21,107.56,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-12,4293,49.88,189.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202013,7345,16602,1,100,8606033,85.35,192.91,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-13,786,9.14,12,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202014,6027,22629,1,100,8606033,70.03,262.94,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-14,-1318,-15.32,-17.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202015,3599,26228,1,100,8606033,41.82,304.76,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-15,-2428,-28.21,-40.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202016,1840,28068,1,100,8606033,21.38,326.14,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-16,-1759,-20.44,-48.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202017,1167,29235,1,100,8606033,13.56,339.7,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-17,-673,-7.82,-36.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202018,700,29935,1,100,8606033,8.13,347.84,COVID19Cases,,2021-06-25_07-49-37,isoweek,2020-18,-467,-5.43,-40,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
