geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d,nachweismethode,type_variant
UR,202106,414,25,389,10069,1,100,6,-3.5,16.2,36703,1127.97,27433.72,68,185.27,0,19.7,COVID19Test,2021-06-25_07-49-37,isoweek,2021-06,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
VD,202106,14333,757,13576,416719,1,100,5.3,-1.1000000000000005,13.4,805098,1780.28,51760.03,389,48.32,0,2.8,COVID19Test,2021-06-25_07-49-37,isoweek,2021-06,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
VS,202106,5935,348,5587,135217,1,100,5.9,-3,19.5,345525,1717.68,39133.78,8,2.32,0,0.1,COVID19Test,2021-06-25_07-49-37,isoweek,2021-06,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
ZG,202106,1759,111,1648,53390,1,100,6.3,-0.7999999999999998,10.5,127642,1378.07,41827.92,-366,-286.74,0,-17.2,COVID19Test,2021-06-25_07-49-37,isoweek,2021-06,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
ZH,202106,24995,1278,23717,723995,1,100,5.1,-1.1000000000000005,10.5,1539275,1623.82,47034.81,1824,118.5,0,7.9,COVID19Test,2021-06-25_07-49-37,isoweek,2021-06,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
AG,202107,3012,102,2910,48717,1,100,3.4,-1.1999999999999997,11,685845,439.17,7103.21,-288,-41.99,0,-8.7,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
AI,202107,74,4,70,1109,1,100,5.4,4.1000000000000005,13.5,16128,458.83,6876.24,-2,-12.4,0,-2.6,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
AR,202107,289,15,274,4847,1,100,5.2,-2.2,15.9,55445,521.24,8742,-48,-86.57,0,-14.2,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
BE,202107,4400,137,4263,73845,1,100,3.1,-0.5,8.3,1039474,423.29,7104.07,105,10.1,0,2.4,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
BL,202107,666,52,614,7856,1,100,7.8,-1.1000000000000005,31.9,289468,230.08,2713.94,60,20.73,0,9.9,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
BS,202107,841,13,828,8897,1,100,1.5,0.9,6.2,195844,429.42,4542.9,117,59.74,0,16.2,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
FL,202107,79,0,79,691,1,100,0,0,6.8,38747,203.89,1783.36,-15,-38.71,0,-16,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
FR,202107,1341,79,1262,24576,1,100,5.9,-0.5999999999999996,14,321783,416.74,7637.45,-346,-107.53,0,-20.5,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
GE,202107,2148,155,1993,36383,1,100,7.2,0.2999999999999998,11.9,504128,426.08,7217.02,-431,-85.5,0,-16.7,COVID19Test,2021-06-25_07-49-37,isoweek,2021-07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
