geoRegion,datum,entries,sumTotal,timeframe_7d,offset_last7d,sumTotal_last7d,timeframe_14d,offset_last14d,sumTotal_last14d,timeframe_28d,offset_last28d,sumTotal_last28d,timeframe_phase2,offset_Phase2,sumTotal_Phase2,timeframe_phase2b,offset_Phase2b,sumTotal_Phase2b,timeframe_phase3,offset_Phase3,sumTotal_Phase3,sum7d,sum14d,mean7d,mean14d,timeframe_all,entries_diff_last_age,pop,inz_entries,inzmean7d,inzmean14d,inzsumTotal,inzsumTotal_last7d,inzsumTotal_last14d,inzsumTotal_last28d,inzsumTotal_Phase2,inzsumTotal_Phase2b,inzsumTotal_Phase3,inzsum7d,inzsum14d,sumdelta7d,inzdelta7d,type,type_variant,version,datum_unit,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last
CH,2020-03-08,18,163,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,111,163,26.86,32.93,TRUE,1,8606033,0.21,0.31,0.38,1.89,NA,NA,NA,NA,NA,NA,1.29,1.89,8,0.09000000000000008,COVID19Hosp,,2021-06-25_07-49-37,day,18,0,5
CH,2020-03-09,29,192,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,127,187,31.71,40.57,TRUE,1,8606033,0.34,0.37,0.47,2.23,NA,NA,NA,NA,NA,NA,1.48,2.17,16,0.18999999999999995,COVID19Hosp,,2021-06-25_07-49-37,day,29,0,5
CH,2020-03-10,42,234,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,152,225,36.43,46.36,TRUE,1,8606033,0.49,0.42,0.54,2.72,NA,NA,NA,NA,NA,NA,1.77,2.61,25,0.29000000000000004,COVID19Hosp,,2021-06-25_07-49-37,day,42,0,5
CH,2020-03-11,49,283,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,188,265,44.57,53.43,TRUE,1,8606033,0.57,0.52,0.62,3.29,NA,NA,NA,NA,NA,NA,2.18,3.08,36,0.41000000000000014,COVID19Hosp,,2021-06-25_07-49-37,day,49,0,5
CH,2020-03-12,52,335,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,222,312,50,60,TRUE,1,8606033,0.6,0.58,0.7,3.89,NA,NA,NA,NA,NA,NA,2.58,3.63,34,0.3999999999999999,COVID19Hosp,,2021-06-25_07-49-37,day,52,0,5
CH,2020-03-13,57,392,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,255,364,63,68.5,TRUE,1,8606033,0.66,0.73,0.8,4.55,NA,NA,NA,NA,NA,NA,2.96,4.23,33,0.3799999999999999,COVID19Hosp,,2021-06-25_07-49-37,day,57,0,5
CH,2020-03-14,65,457,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,312,415,71,76.36,TRUE,1,8606033,0.76,0.83,0.89,5.31,NA,NA,NA,NA,NA,NA,3.63,4.82,57,0.6699999999999999,COVID19Hosp,,2021-06-25_07-49-37,day,65,0,5
CH,2020-03-15,56,513,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,350,461,80,84.79,TRUE,1,8606033,0.65,0.93,0.99,5.96,NA,NA,NA,NA,NA,NA,4.07,5.36,38,0.4400000000000004,COVID19Hosp,,2021-06-25_07-49-37,day,56,0,5
CH,2020-03-16,120,633,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,441,568,88.29,94.43,TRUE,1,8606033,1.39,1.03,1.1,7.36,NA,NA,NA,NA,NA,NA,5.12,6.6,91,1.0499999999999998,COVID19Hosp,,2021-06-25_07-49-37,day,120,0,5
CH,2020-03-17,98,731,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,497,649,100.57,104.36,TRUE,1,8606033,1.14,1.17,1.21,8.49,NA,NA,NA,NA,NA,NA,5.78,7.54,56,0.6600000000000001,COVID19Hosp,,2021-06-25_07-49-37,day,98,0,5
CH,2020-03-18,112,843,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,560,748,108.14,115.07,TRUE,1,8606033,1.3,1.26,1.34,9.8,NA,NA,NA,NA,NA,NA,6.51,8.69,63,0.7299999999999995,COVID19Hosp,,2021-06-25_07-49-37,day,112,0,5
CH,2020-03-19,110,953,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,618,840,119.57,123.21,TRUE,1,8606033,1.28,1.39,1.43,11.07,NA,NA,NA,NA,NA,NA,7.18,9.76,58,0.6699999999999999,COVID19Hosp,,2021-06-25_07-49-37,day,110,0,5
CH,2020-03-20,143,1096,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,704,959,125.86,134.07,TRUE,1,8606033,1.66,1.46,1.56,12.74,NA,NA,NA,NA,NA,NA,8.18,11.14,86,1,COVID19Hosp,,2021-06-25_07-49-37,day,143,0,5
