sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
male,all,CH01,202101,16817,1966,14851,386053,11.7,-0.8000000000000007,16.1,0.471,47.099999999999994,810627,2074.57,47624,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,2574,317.54,18.1,1.0999999999999943,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,CH02,202101,14509,2102,12407,311091,14.5,-2.1000000000000014,14.9,0.451,45.1,931877,1556.97,33383.27,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,1678,180.07,13.1,1.6000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,CH03,202101,10065,1337,8728,208510,13.3,-5.199999999999999,11.9,0.455,45.5,581620,1730.51,35849.87,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,1538,264.43,18,2.1000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,CH04,202101,14537,2113,12424,339162,14.5,-3.1000000000000014,11.4,0.466,46.6,766679,1896.1,44237.81,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,864,112.69,6.3,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,CH05,202101,10556,1732,8824,198146,16.4,-4.5,14.4,0.46,46,594186,1776.55,33347.47,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,2622,441.28,33,3.1000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,CH06,202101,6413,1210,5203,129328,18.9,-2.1000000000000014,13.9,0.461,46.1,412733,1553.79,31334.54,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,1042,252.46,19.4,1.7000000000000028,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,all,CH07,202101,3710,602,3108,68080,16.2,-6.300000000000001,16.5,0.432,43.2,171141,2167.8,39780.06,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,308,179.97,9.1,0.30000000000000426,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,all,CH01,202101,18863,2119,16744,442563,11.2,-1.1000000000000014,15.5,0.528,52.800000000000004,844124,2234.62,52428.67,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,2170,257.07,13,-1.1000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,all,CH02,202101,17653,2462,15191,362851,13.9,-1,14.4,0.549,54.900000000000006,954707,1849.05,38006.53,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,1025,107.36,6.2,-1.4999999999999858,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,all,CH03,202101,12036,1598,10438,232097,13.3,-2.299999999999999,11.3,0.544,54.400000000000006,589537,2041.6,39369.37,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,917,155.54,8.2,-2.099999999999987,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,all,CH04,202101,16604,2469,14135,372479,14.9,-1.9999999999999982,10.8,0.533,53.300000000000004,772596,2149.12,48211.35,COVID19Test,sex,2021-06-25_07-49-37,isoweek,2021-01,290,37.54,1.8,-1.1000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
