geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH05,202018,6,110,1,100,1183813,0.51,9.29,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-18,-6,-0.5,-50,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH06,202018,6,60,1,100,818962,0.73,7.33,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-18,-1,-0.12,-14.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH07,202018,11,293,1,100,351491,3.13,83.36,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-18,-13,-3.7,-54.2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH01,202019,20,709,1,100,1654751,1.21,42.85,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-19,-20,-1.21,-50,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH02,202019,7,245,1,100,1886584,0.37,12.99,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-19,-3,-0.16,-30,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH03,202019,5,128,1,100,1171157,0.43,10.93,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-19,-4,-0.34,-44.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH04,202019,3,123,1,100,1539275,0.19,7.99,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-19,-5,-0.33,-62.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH05,202019,4,114,1,100,1183813,0.34,9.63,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-19,-2,-0.17,-33.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH06,202019,1,61,1,100,818962,0.12,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-19,-5,-0.61,-83.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH07,202019,14,307,1,100,351491,3.98,87.34,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-19,3,0.85,27.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
