sex,geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
male,CHFL,202024,3,990,0.75,75,4288078,0.07,23.09,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-24,2,0.05,200,-25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CHFL,202024,1,739,0.25,25,4356702,0.02,16.96,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-24,1,0.02,NA,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CHFL,202024,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-24,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CHFL,202025,0,990,0,0,4288078,0,23.09,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-25,-3,-0.07,-100,-75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CHFL,202025,2,741,1,100,4356702,0.05,17.01,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-25,1,0.03,100,75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CHFL,202025,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-25,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CHFL,202026,1,991,1,100,4288078,0.02,23.11,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-26,1,0.02,NA,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CHFL,202026,0,741,0,0,4356702,0,17.01,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-26,-2,-0.05,-100,-100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CHFL,202026,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-26,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CHFL,202027,1,992,0.5,50,4288078,0.02,23.13,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-27,0,0,0,-50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CHFL,202027,1,742,0.5,50,4356702,0.02,17.03,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-27,1,0.02,NA,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CHFL,202027,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-27,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CHFL,202028,2,994,0.667,66.7,4288078,0.05,23.18,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-28,1,0.03,100,16.700000000000003,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CHFL,202028,1,743,0.333,33.300000000000004,4356702,0.02,17.05,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-28,0,0,0,-16.699999999999996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CHFL,202028,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-28,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CHFL,202029,4,998,1,100,4288078,0.09,23.27,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-29,2,0.04,100,33.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CHFL,202029,0,743,0,0,4356702,0,17.05,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-29,-1,-0.02,-100,-33.300000000000004,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CHFL,202029,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-29,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CHFL,202030,4,1002,0.8,80,4288078,0.09,23.37,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-30,0,0,0,-20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CHFL,202030,1,744,0.2,20,4356702,0.02,17.08,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-30,1,0.02,NA,20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CHFL,202030,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-30,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CHFL,202031,4,1006,0.8,80,4288078,0.09,23.46,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-31,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
female,CHFL,202031,1,745,0.2,20,4356702,0.02,17.1,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-31,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
unknown,CHFL,202031,0,0,0,0,NA,NA,NA,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-31,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CHFL,202032,3,1009,0.6,60,4288078,0.07,23.53,COVID19Death,sex,2021-06-25_07-49-37,isoweek,2020-32,-1,-0.02,-25,-20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
