date,type,geoRegion,type_variant,entries,sumTotal,version
2021-06-20,COVID19Certificates,CH,all,49400,1890866,2021-06-25_09-32-18
2021-06-20,COVID19Certificates,CH,recovered,1470,43935,2021-06-25_09-32-18
2021-06-20,COVID19Certificates,CH,tested,161,1714,2021-06-25_09-32-18
2021-06-20,COVID19Certificates,CH,vaccinated,47769,1845217,2021-06-25_09-32-18
2021-06-21,COVID19Certificates,CH,all,258681,2149547,2021-06-25_09-32-18
2021-06-21,COVID19Certificates,CH,recovered,3842,47777,2021-06-25_09-32-18
2021-06-21,COVID19Certificates,CH,tested,341,2055,2021-06-25_09-32-18
2021-06-21,COVID19Certificates,CH,vaccinated,254498,2099715,2021-06-25_09-32-18
2021-06-22,COVID19Certificates,CH,all,181743,2331290,2021-06-25_09-32-18
2021-06-22,COVID19Certificates,CH,recovered,4081,51858,2021-06-25_09-32-18
2021-06-22,COVID19Certificates,CH,tested,500,2555,2021-06-25_09-32-18
2021-06-22,COVID19Certificates,CH,vaccinated,177162,2276877,2021-06-25_09-32-18
2021-06-23,COVID19Certificates,CH,all,108960,2440250,2021-06-25_09-32-18
2021-06-23,COVID19Certificates,CH,recovered,5326,57184,2021-06-25_09-32-18
2021-06-23,COVID19Certificates,CH,tested,769,3324,2021-06-25_09-32-18
2021-06-23,COVID19Certificates,CH,vaccinated,102865,2379742,2021-06-25_09-32-18
2021-06-24,COVID19Certificates,CH,all,89943,2530193,2021-06-25_09-32-18
2021-06-24,COVID19Certificates,CH,recovered,5419,62603,2021-06-25_09-32-18
2021-06-24,COVID19Certificates,CH,tested,1390,4714,2021-06-25_09-32-18
2021-06-24,COVID19Certificates,CH,vaccinated,83134,2462876,2021-06-25_09-32-18
