nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
all,CH04,202049,34416,5713,28703,505567,16.6,1.6000000000000014,10,1,100,1539275,2235.86,32844.49,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-49,1525,99.07,4.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202049,22355,4783,17572,281909,21.4,0.7999999999999972,13.3,1,100,1183813,1888.39,23813.64,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-49,1708,144.28,8.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202049,13063,2347,10716,189636,18,0.3000000000000007,12.3,1,100,818962,1595.07,23155.65,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-49,989,120.76,8.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202049,7886,1725,6161,99305,21.9,0.3999999999999986,15.2,1,100,351491,2243.59,28252.5,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-49,40,11.38,0.5,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202050,34580,4157,30423,674355,12,-4.100000000000001,17.2,1,100,1654751,2089.74,40752.66,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-50,4851,293.16,16.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202050,37390,6150,31240,528045,16.4,-1.1000000000000014,14.9,1,100,1886584,1981.89,27989.48,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-50,5301,280.99,16.5,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202050,28660,4750,23910,338323,16.6,-0.3999999999999986,10.7,1,100,1171157,2447.15,28887.93,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-50,3948,337.1,16,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202050,43642,6398,37244,549209,14.7,-1.9000000000000021,10.4,1,100,1539275,2835.23,35679.72,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-50,9226,599.37,26.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202050,41300,5562,35738,323209,13.5,-7.899999999999999,13.4,1,100,1183813,3488.73,27302.37,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-50,18945,1600.34,84.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202050,14738,2937,11801,204374,19.9,1.8999999999999986,12.8,1,100,818962,1799.6,24955.25,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-50,1675,204.53,12.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202050,9312,1937,7375,108617,20.8,-1.0999999999999979,15.7,1,100,351491,2649.29,30901.79,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-50,1426,405.7,18.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202051,46036,3791,42245,720391,8.2,-3.8000000000000007,16.6,1,100,1654751,2782.05,43534.71,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-51,11456,692.31,33.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202051,44957,6034,38923,573002,13.4,-2.9999999999999982,14.8,1,100,1886584,2382.98,30372.46,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-51,7567,401.09,20.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202051,32954,4687,28267,371277,14.2,-2.400000000000002,11,1,100,1171157,2813.8,31701.73,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-51,4294,366.65,15,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202051,54930,6357,48573,604139,11.6,-3.0999999999999996,10.5,1,100,1539275,3568.56,39248.28,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-51,11288,733.33,25.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202051,30983,5260,25723,354192,17,3.5,13.7,1,100,1183813,2617.22,29919.59,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-51,-10317,-871.51,-25,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202051,19310,3090,16220,223684,16,-3.8999999999999986,13.1,1,100,818962,2357.86,27313.11,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-51,4572,558.26,31,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202051,13282,1839,11443,121899,13.8,-7,15.5,1,100,351491,3778.76,34680.55,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-51,3970,1129.47,42.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202052,42467,3364,39103,762858,7.9,-0.29999999999999893,16.1,1,100,1654751,2566.37,46101.08,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-52,-3569,-215.68,-7.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202052,39543,4769,34774,612545,12.1,-1.3000000000000007,14.6,1,100,1886584,2096.01,32468.47,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-52,-5414,-286.97,-12,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202052,27709,3872,23837,398986,14,-0.1999999999999993,11.2,1,100,1171157,2365.95,34067.68,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-52,-5245,-447.85,-15.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202052,46619,5589,41030,650758,12,0.40000000000000036,10.6,1,100,1539275,3028.63,42276.92,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-52,-8311,-539.93,-15.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202052,23664,3926,19738,377856,16.6,-0.3999999999999986,13.9,1,100,1183813,1998.96,31918.55,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-52,-7319,-618.26,-23.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202052,16095,2590,13505,239779,16.1,0.10000000000000142,13.3,1,100,818962,1965.29,29278.4,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-52,-3215,-392.57,-16.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202052,9354,1741,7613,131253,18.6,4.800000000000001,15.7,1,100,351491,2661.23,37341.78,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-52,-3928,-1117.53,-29.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202053,30978,3845,27133,793836,12.4,4.5,16,1,100,1654751,1872.06,47973.14,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-53,-11489,-694.31,-27.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202053,29471,4597,24874,642016,15.6,3.5,14.6,1,100,1886584,1562.14,34030.61,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-53,-10072,-533.87,-25.5,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202053,19663,3317,16346,418649,16.9,2.8999999999999986,11.5,1,100,1171157,1678.94,35746.62,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-53,-8046,-687.01,-29,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202053,30007,5170,24837,680765,17.2,5.199999999999999,10.9,1,100,1539275,1949.42,44226.34,COVID19Test,,2021-06-25_07-49-37,isoweek,2020-53,-16612,-1079.21,-35.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
