sex,geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
female,CH,202012,324,555,0.387,38.7,4337170,7.47,12.8,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-12,172,3.97,113.2,-4.699999999999996,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202012,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-12,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202013,732,1527,0.629,62.9,4268863,17.15,35.77,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-13,219,5.13,42.7,1.6000000000000014,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202013,431,986,0.371,37.1,4337170,9.94,22.73,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-13,107,2.47,33,-1.6000000000000014,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202013,0,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-13,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202014,417,1944,0.627,62.7,4268863,9.77,45.54,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-14,-315,-7.38,-43,-0.19999999999999574,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202014,247,1233,0.371,37.1,4337170,5.69,28.43,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-14,-184,-4.25,-42.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202014,1,1,0.002,0.2,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-14,1,NA,NA,0.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202015,219,2163,0.602,60.199999999999996,4268863,5.13,50.67,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-15,-198,-4.64,-47.5,-2.500000000000007,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202015,145,1378,0.398,39.800000000000004,4337170,3.34,31.77,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-15,-102,-2.35,-41.3,2.700000000000003,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202015,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-15,-1,NA,-100,-0.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202016,128,2291,0.582,58.199999999999996,4268863,3,53.67,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-16,-91,-2.13,-41.6,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202016,92,1470,0.418,41.8,4337170,2.12,33.89,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-16,-53,-1.22,-36.6,1.999999999999993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202016,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-16,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202017,61,2352,0.575,57.49999999999999,4268863,1.43,55.1,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-17,-67,-1.57,-52.3,-0.7000000000000028,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202017,45,1515,0.425,42.5,4337170,1.04,34.93,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-17,-47,-1.08,-51.1,0.7000000000000028,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202017,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-17,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202018,32,2384,0.5,50,4268863,0.75,55.85,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-18,-29,-0.68,-47.5,-7.499999999999993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202018,32,1547,0.5,50,4337170,0.74,35.67,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-18,-13,-0.3,-28.9,7.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202018,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-18,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202019,17,2401,0.548,54.800000000000004,4268863,0.4,56.24,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-19,-15,-0.35,-46.9,4.800000000000004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202019,14,1561,0.452,45.2,4337170,0.32,35.99,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-19,-18,-0.42,-56.2,-4.799999999999997,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202019,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-19,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202020,13,2414,0.52,52,4268863,0.3,56.55,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-20,-4,-0.1,-23.5,-2.8000000000000043,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202020,12,1573,0.48,48,4337170,0.28,36.27,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-20,-2,-0.04,-14.3,2.799999999999997,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202020,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-20,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
